epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,29117.2,1.15814,0.63236,1.18148,0.71673,0.84811,0.72008,0.49363,1.23569,1.0676,1.22179,0.004654,0.004654,0.004654
83,29470.9,1.16391,0.62984,1.18409,0.71418,0.84747,0.71992,0.49372,1.23584,1.06721,1.22178,0.004588,0.004588,0.004588
84,29824,1.16452,0.63487,1.18541,0.71643,0.84709,0.72011,0.49418,1.23579,1.06668,1.22173,0.004522,0.004522,0.004522
85,30175.4,1.15789,0.63743,1.18324,0.71418,0.8471,0.72067,0.49457,1.23559,1.06657,1.22149,0.004456,0.004456,0.004456
86,30528.4,1.15728,0.63352,1.18204,0.71503,0.8489,0.72047,0.49471,1.23598,1.06621,1.22155,0.00439,0.00439,0.00439
87,30880.4,1.1523,0.63517,1.17903,0.7152,0.84811,0.72068,0.49456,1.23595,1.0655,1.22157,0.004324,0.004324,0.004324
88,31232.6,1.15692,0.63829,1.18287,0.71545,0.84722,0.72107,0.49446,1.23563,1.06484,1.22161,0.004258,0.004258,0.004258
89,31597,1.15007,0.62666,1.17812,0.71567,0.85103,0.72057,0.49411,1.23577,1.0647,1.22175,0.004192,0.004192,0.004192
90,31936.4,1.15098,0.62698,1.17462,0.7147,0.85017,0.72115,0.49403,1.23558,1.06447,1.2215,0.004126,0.004126,0.004126
91,32274.5,1.15043,0.62805,1.17877,0.71581,0.84989,0.72115,0.49374,1.23565,1.06412,1.22136,0.00406,0.00406,0.00406
92,32610.1,1.15213,0.62935,1.17795,0.71659,0.84966,0.72227,0.49491,1.2352,1.06399,1.22085,0.003994,0.003994,0.003994
93,32946.8,1.14562,0.62336,1.17317,0.7155,0.84972,0.72183,0.49443,1.23506,1.0638,1.22027,0.003928,0.003928,0.003928
94,33286.5,1.14567,0.62466,1.17233,0.71661,0.85113,0.72252,0.49576,1.23478,1.06357,1.21974,0.003862,0.003862,0.003862
95,33638.6,1.14893,0.62587,1.17598,0.71467,0.85207,0.72233,0.49612,1.23433,1.06382,1.21933,0.003796,0.003796,0.003796
96,33975.5,1.14399,0.62262,1.17463,0.71473,0.84951,0.72222,0.49647,1.2338,1.06414,1.21892,0.00373,0.00373,0.00373
97,34319.8,1.14366,0.6241,1.17296,0.71497,0.85066,0.72271,0.49719,1.2331,1.06381,1.21825,0.003664,0.003664,0.003664
98,34656.1,1.1418,0.62277,1.17256,0.71436,0.84952,0.72252,0.4969,1.2329,1.06422,1.21807,0.003598,0.003598,0.003598
99,34999.3,1.14381,0.61515,1.17201,0.71502,0.84795,0.72222,0.49677,1.23284,1.06406,1.21787,0.003532,0.003532,0.003532
100,35337,1.13544,0.61886,1.16899,0.71428,0.85048,0.72211,0.49733,1.23291,1.06437,1.21785,0.003466,0.003466,0.003466
101,35673.2,1.13894,0.61575,1.16985,0.71488,0.84878,0.72264,0.49771,1.23272,1.06459,1.21759,0.0034,0.0034,0.0034
102,36015.7,1.13437,0.61208,1.16887,0.71616,0.84786,0.72261,0.49808,1.23237,1.06438,1.2173,0.003334,0.003334,0.003334
